id;Артикул;"Название товара *";"Стоимость товара *";"Стоимость со скидкой";"Раздел товара *";"Товар в наличии";"Поставка под заказ *";"Срок поставки (дни) *";"Краткий текст";"Текст полностью";"Заголовок страницы (title)";"Описание страницы (description)";"Ключевые слова страницы (keywords)";"ЧПУ страницы (slug)";"С этим товаром покупают";"Рекламные метки";"Показывать на сайте *";"Удалить *";"Ед. измерения";Вес;"Габариты, см";НДС;"Передавать в Яндекс.Маркет";"Передавать в ВКонтакте"
52460280;0;"Белладжио ПН-01";8000;6800;"ШКАФЫ => Пеналы";10;0;1;"<p><span>Пенал ""Белладжио"" ПН-01</span></p><p><span>&nbsp;</span></p><p><span>Цвет: Сонома/Белый</span></p><p><span>Габариты: (ШхВхГ) 402 х 2176 х 460</span></p><p><span>Пенал входит в&nbsp;Модульную систему ""Белладжио""</span></p><p><span>&nbsp;</span></p><p><br /></p>";;"Купить Белладжио ПН-01 в Краснодар недорого — Мебель на Кубани";"Купить Белладжио ПН-01 в Мебель на Кубани: Краснодар, Ростовское шоссе, 14/2. Доставка по городу и краю, профессиональная сборка. Гарантия качества!";"Белладжио ПН-01, Краснодар, каталог мебели, купить недорого, сборка мебели";;"52465904, 52465013, 52498788, 52475803, 52498797, 52462884, 52498807, 52466406, 52469471";;1;0;шт;0г;;;1;1
55163335;0;"Токио пенал";6800;;"ШКАФЫ => Пеналы";100;0;1;"<p><span>Пенал&nbsp;""Токио""&nbsp;</span></p><p>Цвет:&nbsp;<span>&nbsp;Белый текстурный</span></p><p><span>Габариты: (ШхВхГ) &mdash; 401х2100х516</span></p><p><br /></p>";;"Купить Токио пенал в Краснодар недорого — Мебель на Кубани";"Купить Токио пенал в Мебель на Кубани: Краснодар, Ростовское шоссе, 14/2. Доставка по городу и краю, профессиональная сборка. Гарантия качества!";"Токио пенал, Краснодар, каталог мебели, купить недорого, сборка мебели";;"55163290, 55163329, 55163032, 55163055, 55163096, 55163158, 55163162, 55163168, 55163206, 55163727";хит;1;0;шт;0г;;;1;1
58640244;0;"Денвер Пенал Графит серый";6000;;"ШКАФЫ => Пеналы";100;0;1;"<p>Денвер&nbsp;Пенал Графит серый</p><p><br /></p><p>Цвет:&nbsp;<span>&nbsp;Графит серый</span></p><p><br /></p><p><span>Габариты: (ШхВхГ) &mdash; 401х2052х462</span></p><p><br /></p><p><br /></p>";;"Купить Денвер Пенал Графит серый в Краснодар недорого — Мебель на Кубани";"Купить Денвер Пенал Графит серый в Мебель на Кубани: Краснодар, Ростовское шоссе, 14/2. Доставка по городу и краю, профессиональная сборка. Гарантия качества!";"Денвер Пенал Графит серый, Краснодар, каталог мебели, купить недорого, сборка мебели";;"58640152, 58640136, 58640036, 58640105, 58640110, 58639871, 58640166, 58640383, 58640214, 58640259";хит;1;0;шт;0г;;;1;1
58976864;0;"Авиньон пенал Дуб крафт золотой/Графит серый";9600;;"ШКАФЫ => Пеналы";100;0;1;"<p class=""catalog-header__title"">Авиньон пенал Дуб крафт золотой/Графит серый</p><p><br /></p><p class=""catalog-header__title"">Габариты: (ШхВхГ): 500*2216*506 мм</p><p><br /></p><p><span>Нагрузка на полку - 10 кг.</span><br /><span>Нагрузка на штангу - 10 кг.</span><br /><span>Нагрузка на ящик - 5 кг.</span></p><p><br /></p><p class=""catalog-header__title"">Цвет: <span>Дуб крафт золотой/Графит серый</span></p><p class=""catalog-header__title"">&nbsp; &nbsp; &nbsp; &nbsp;</p><p><br /></p>";;"Купить Авиньон пенал Дуб крафт золотой/Графит серый в Краснодар недорого — Мебель на Кубани";"Купить Авиньон пенал Дуб крафт золотой/Графит серый в Мебель на Кубани: Краснодар, Ростовское шоссе, 14/2. Доставка по городу и краю, профессиональная сборка. Гарантия качества!";"Авиньон пенал Дуб крафт золотой/Графит серый, Краснодар, каталог мебели, купить недорого, сборка меб";;"58976871, 58976857, 58973896";;1;0;шт;0г;;;1;1
59296193;0;"Бохо ШК-003 шкаф с ящиками 1 ств Дуб Крафт Серый/Кашемир";10300;;"ШКАФЫ => Пеналы";100;0;1;"<p><span style=""font-size: 14px;"">Бохо ШК-003 шкаф с ящиками 1 ств Дуб Крафт Серый/Кашемир</span></p><p><br /></p><p><span style=""font-size: 14px;"">Габариты(ШхВхГ): 508х2360х510мм</span></p><p><br /></p><p><span style=""font-size: 14px;"">Материал: ЛДСП&nbsp;&nbsp;</span></p><p><br /></p><p><br /><span style=""font-size: 14px;"">Цвет:&nbsp; <span>ЛДСП Дуб Крафт Серый</span></span></p><p><br /></p>";"<p><span>Изделие &laquo;БОХО Шкаф ШК-003 (Шкаф с ящиками, 1-ств.)&raquo; имеет следующие особенности:</span><br /><span>Имеет створку в верхней части и три ящика в нижней части.</span><br /><span>В верхней части расположены 2 съёмные полки и 1 вязка, образуя четыре отсека для хранения.</span><br /><span>Расстояние между полок (сверху вниз) 347мм, 315мм, 293мм, 315мм.</span><br /><span>Ящики одинаковые по размерам. Высота стенок ящика 138мм. Глубина ящиков 434мм.</span><br /><span>При этом полезная высота (от дна ящика до планки) 190мм у среднего и 205мм у верхнего и нижнего ящиков.</span><br /><span>В изделии не используются ручки. Для открывания фасадов предусмотрены свесы и зазоры между ними (зазоры по 30мм).</span><br /><span>Видимая область между фасадами декорирована планками.</span><br /><span>Задняя стенка и дно ящиков из белого ЛХДФ. Задняя стенка является набивной(накладной).</span><br /><span>Дно ящиков &ndash; накладное с дополнительным креплением в паз, находящийся на тыльной стороне фасада.</span><br /><span>Выполнен в едином цвете &ndash; цвет Корпуса.</span><br /><span>Сборка &ndash; УНИВЕРСАЛЬНАЯ (Створку можно подвешивать налево или направо).</span></p>";"Купить Бохо ШК-003 шкаф с ящиками 1 ств Дуб Крафт Серый/Кашемир в Краснодар недорого — Мебель на Кубани";"Купить Бохо ШК-003 шкаф с ящиками 1 ств Дуб Крафт Серый/Кашемир в Мебель на Кубани: Краснодар, Ростовское шоссе, 14/2. Доставка по городу и краю, профессиональная сборка. Гарантия качества!";"Бохо ШК-003 шкаф с ящиками 1 ств Дуб Крафт Серый/Кашемир, Краснодар, каталог мебели, купить недорого";;"59296142, 59296233, 59296242, 59296273, 59296433, 59296322, 59296388, 59296338, 59296293, 59296462";новинка;1;0;шт;0г;;;1;1
59297710;0;"Милан Шкаф одностворчатый Дуб Золотой/Белый Матовый";12200;;"ШКАФЫ => Пеналы";10;0;1;"<p>Милан Шкаф одностворчатый Дуб Золотой/Белый Матовый</p><p><br /></p><p><span><span class=""c-changelable-props__value js-changelable-props-val__MATERIAL_FASADA_1"">Цвет: Дуб Золотой/ МДФ Белый матовый</span></span></p><p><br /></p><p><span>Габариты: (ШхВхГ) - 551мм*2200мм*398мм</span></p><p><br /></p><p><span><span class=""c-attributes__select js-attributes__select"">&nbsp;</span></span>&nbsp;<span>&nbsp;</span></p><p><br /></p><p class=""pagetitle"">&nbsp;</p><p><br /></p>";;"Купить Милан Шкаф одностворчатый Дуб Золотой/Белый Матовый в Краснодар недорого — Мебель на Кубани";"Купить Милан Шкаф одностворчатый Дуб Золотой/Белый Матовый в Мебель на Кубани: Краснодар, Ростовское шоссе, 14/2. Доставка по городу и краю, профессиональная сборка. Гарантия качества!";"Милан Шкаф одностворчатый Дуб Золотой/Белый Матовый, Краснодар, каталог мебели, купить недорого, сбо";;"59297581, 59297597, 59297602, 59297618, 59297702, 59297728, 59297757, 59297635, 59297668, 59297680";;1;0;шт;0г;;;1;1
59724105;0;"Ника Пенал 450*2100*500 (мдф бежевый мат-05 / лдсп кашемир)";10900;;"ШКАФЫ => Пеналы";100;0;1;"<p>Ника Пенал 450*2100*500 (мдф бежевый мат-05 / лдсп кашемир)</p><p><br /></p><p><span>Габариты(ШхВхГ): 450*2100*500</span>&nbsp;&nbsp;<br /></p><p><br /><span>Цвет: Кашемир / Бежевый матовый</span></p>";;"Купить Ника Пенал 450*2100*500 (мдф бежевый мат-05 / лдсп кашемир) в Краснодар недорого — Мебель на Кубани";"Купить Ника Пенал 450*2100*500 (мдф бежевый мат-05 / лдсп кашемир) в Мебель на Кубани: Краснодар, Ростовское шоссе, 14/2. Доставка по городу и краю, профессиональная сборка. Гарантия качества!";"Ника Пенал 450*2100*500 (мдф бежевый мат-05 / лдсп кашемир), Краснодар, каталог мебели, купить недор";;"59724097, 59724077, 59724365, 59724138, 59724335, 59724858, 59724346, 59724379, 59724796, 59724384";новинка;1;0;шт;0г;;;1;1
59309781;0;"Теодора Шкаф Белый/Дуб крафт";8200;7200;"ШКАФЫ => Пеналы";10;0;1;"<p>Теодора Шкаф&nbsp;Белый/Дуб крафт</p><p><br /></p><p><span><span class=""c-changelable-props__value js-changelable-props-val__MATERIAL_FASADA_1"">Цвет: Белый/Дуб крафт</span></span></p><p><br /></p><p><span>Габариты: (ШхВхГ) - 515*2100*523 мм</span></p><p><br /></p><p><span>Шкаф - практичное и стильное решение для вашего интерьера. Обеспечивает достаточное пространство для хранения ваших вещей и организованное распределение внутренних отделений. Легкий в сборке и прочный. Доступен в различных цветовых вариантах. Создайте функциональное и аккуратное пространство с этим шкафом.</span></p><p><span><span class=""c-attributes__select js-attributes__select"">&nbsp;</span></span>&nbsp;<span>&nbsp;</span></p><p><br /></p><p class=""pagetitle"">&nbsp;</p>
<p><br /></p>";;"Купить Теодора Шкаф Белый/Дуб крафт в Краснодар недорого — Мебель на Кубани";"Купить Теодора Шкаф Белый/Дуб крафт в Мебель на Кубани: Краснодар, Ростовское шоссе, 14/2. Доставка по городу и краю, профессиональная сборка. Гарантия качества!";"Теодора Шкаф Белый/Дуб крафт, Краснодар, каталог мебели, купить недорого, сборка мебели";;"59309794, 59309840, 59309868, 59310155, 59310176, 59310137, 59309894, 59309742, 59309953, 59310055";;1;0;шт;0г;;;1;1
59309760;0;"Теодора Шкаф Графит/Дуб крафт";8700;7400;"ШКАФЫ => Пеналы";10;0;1;"<p>Теодора Шкаф <span>Графит/Дуб крафт</span></p><p><br /></p><p><span><span class=""c-changelable-props__value js-changelable-props-val__MATERIAL_FASADA_1"">Цвет: Графит/Дуб крафт</span></span></p><p><br /></p><p><span>Габариты: (ШхВхГ) - 515*2100*523 мм</span></p><p><br /></p><p><span>Шкаф - практичное и стильное решение для вашего интерьера. Обеспечивает достаточное пространство для хранения ваших вещей и организованное распределение внутренних отделений. Легкий в сборке и прочный. Доступен в различных цветовых вариантах. Создайте функциональное и аккуратное пространство с этим шкафом.</span></p><p><span><span class=""c-attributes__select js-attributes__select"">&nbsp;</span></span>&nbsp;<span>&nbsp;</span></p><p><br /></p><p class=""pagetitle"">&nbsp;</p>
<p><br /></p>";;"Купить Теодора Шкаф Графит/Дуб крафт в Краснодар недорого — Мебель на Кубани";"Купить Теодора Шкаф Графит/Дуб крафт в Мебель на Кубани: Краснодар, Ростовское шоссе, 14/2. Доставка по городу и краю, профессиональная сборка. Гарантия качества!";"Теодора Шкаф Графит/Дуб крафт, Краснодар, каталог мебели, купить недорого, сборка мебели";;"59309781, 59310155, 59310107, 59310085, 59310176, 59310124, 59310137, 59309801, 59309804, 59309855";;1;0;шт;0г;;;1;1
59309953;0;"Теодора Шкаф с витриной Белый/Дуб крафт";10800;9500;"ШКАФЫ => Пеналы";10;0;1;"<p>Теодора Шкаф с витриной Белый/Дуб крафт</p><p><br /></p><p><span><span class=""c-changelable-props__value js-changelable-props-val__MATERIAL_FASADA_1"">Цвет: Белый/Дуб крафт</span></span></p><p><br /></p><p><span>Габариты: (ШхВхГ) - 515*2100*523 мм</span></p><p><br /></p><p><span>Шкаф с витриной - элегантное и функциональное решение для вашего интерьера. Обеспечивает стильный дизайн и возможность отображения декоративных предметов. Легкая в сборке и прочная конструкция. Доступен в различных цветовых вариантах. Создайте уютное и уникальное пространство с этим шкафом с витриной.</span></p><p><br /></p><p class=""pagetitle"">&nbsp;</p><p><br /></p>";;"Купить Теодора Шкаф с витриной Белый/Дуб крафт в Краснодар недорого — Мебель на Кубани";"Купить Теодора Шкаф с витриной Белый/Дуб крафт в Мебель на Кубани: Краснодар, Ростовское шоссе, 14/2. Доставка по городу и краю, профессиональная сборка. Гарантия качества!";"Теодора Шкаф с витриной Белый/Дуб крафт, Краснодар, каталог мебели, купить недорого, сборка мебели";;;;1;0;шт;0г;;;1;1
